card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FHHABGDGF,2018-09-01 08:06:49,巴士,240,300,231011500,巴士集团,205路,45846D,0,2018-09-01 00:00:00
CFHJIFIFC,2018-09-01 08:14:14,巴士,240,300,231011500,巴士集团,205路,45846D,0,2018-09-01 00:00:00
BAJCGJBH,2018-09-01 10:08:39,地铁出站,285,300,261020114,地铁三号线,大芬,AGM-114,0,2018-09-01 00:00:00
FHIDBFGGH,2018-09-01 10:04:25,地铁入站,0,0,268022121,地铁一号线,白石洲,AGM-121,0,2018-09-01 00:00:00
BEAIFHGBF,2018-09-01 10:08:58,地铁出站,150,300,261028108,地铁三号线,爱联,AGM-108,0,2018-09-01 00:00:00
FHEEFDIEJ,2018-09-01 07:50:54,巴士,160,200,231011502,巴士集团,M467,37760D,0,2018-09-01 00:00:00
CBBEEGBAH,2018-09-01 09:08:19,巴士,160,200,231011502,巴士集团,M467,37760D,0,2018-09-01 00:00:00
BEBBAEBDH,2018-09-01 10:04:42,地铁出站,200,400,268001132,地铁一号线,罗湖站,IGT-132,0,2018-09-01 00:00:00
FHEEEEIDD,2018-09-01 10:08:56,地铁入站,0,0,261021116,地铁三号线,丹竹头,AGM-116,0,2018-09-01 00:00:00
FIHDEECFA,2018-09-01 10:09:08,地铁入站,0,0,261013102,地铁三号线,晒布,AGM-102,0,2018-09-01 00:00:00
FIAAJIGFC,2018-09-01 07:20:05,巴士,240,300,231011506,巴士集团,M300,47753D,0,2018-09-01 00:00:00
FFEEEJGGH,2018-09-01 07:52:09,巴士,200,300,231011506,巴士集团,M300,47753D,1,2018-09-01 00:00:00
FHHAAIAFH,2018-09-01 10:09:14,地铁出站,950,1000,261014116,地铁三号线,翠竹,AGM-116,0,2018-09-01 00:00:00
CBIGGCDDA,2018-09-01 08:11:17,巴士,200,250,231011507,巴士集团,M299,41271D,0,2018-09-01 00:00:00
CFADCCAAI,2018-09-01 07:20:14,巴士,240,300,231011506,巴士集团,M300,47753D,0,2018-09-01 00:00:00
CFBHHCAFJ,2018-09-01 08:42:38,巴士,555,800,224004184,西部公共汽车,337线（混租电动）,粤B07576D,1,2018-09-01 00:00:00
CCACJCCAB,2018-09-01 10:09:25,地铁入站,0,0,261011112,地铁三号线,红岭,AGM-112,0,2018-09-01 00:00:00
DIBFBIAHI,2018-09-01 07:41:06,巴士,0,200,231011508,巴士集团,18路,35830D,0,2018-09-01 00:00:00
CCJBADIAB,2018-09-01 08:28:44,巴士,160,200,231011508,巴士集团,18路,35830D,0,2018-09-01 00:00:00
FHFHGCIEG,2018-09-01 10:09:34,地铁入站,0,0,261007112,地铁三号线,少年宫,AGM-112,0,2018-09-01 00:00:00
FIJCIEBDB,2018-09-01 10:09:36,地铁出站,570,600,261014114,地铁三号线,翠竹,AGM-114,0,2018-09-01 00:00:00
FFGFDECAF,2018-09-01 10:09:15,地铁入站,0,0,261024102,地铁三号线,横岗,AGM-102,0,2018-09-01 00:00:00
HHJJJBAIA,2018-09-01 10:09:28,地铁出站,0,200,261004112,地铁三号线,石厦,AGM-112,0,2018-09-01 00:00:00
FFEHDAHIE,2018-09-01 10:09:19,地铁出站,665,700,261023121,地铁三号线,塘坑,AGM-121,0,2018-09-01 00:00:00
BEBJBBCFB,2018-09-01 10:09:21,地铁出站,150,300,261012110,地铁三号线,老街,AGM-110,0,2018-09-01 00:00:00
CBCCDAJBI,2018-09-01 10:09:17,地铁出站,285,300,261032103,地铁三号线,双龙,AGM-103,0,2018-09-01 00:00:00
FHIDDHCHC,2018-09-01 10:09:25,地铁入站,0,0,261019118,地铁三号线,木棉湾,AGM-118,0,2018-09-01 00:00:00
HHJJAEFDG,2018-09-01 10:04:49,地铁出站,0,200,268024106,地铁一号线,深圳大学,AGM-106,0,2018-09-01 00:00:00
FIABDIGCB,2018-09-01 10:01:07,地铁入站,0,0,265025105,地铁七号线,福民,进AGM07-08,0,2018-09-01 00:00:00
FFEFADHFJ,2018-09-01 10:01:13,地铁入站,0,0,267020113,地铁九号线,梅村,IGT-113,0,2018-09-01 00:00:00
FHEBGIGGB,2018-09-01 10:00:53,地铁入站,0,0,265025118,地铁七号线,福民,进AGM24-25,0,2018-09-01 00:00:00
FHDHFDIGA,2018-09-01 10:01:27,地铁入站,0,0,267020112,地铁九号线,梅村,IGT-112,0,2018-09-01 00:00:00
FHDDCIFIB,2018-09-01 10:03:36,地铁入站,0,0,265025118,地铁七号线,福民,进AGM24-25,0,2018-09-01 00:00:00
FFAJDFADI,2018-09-01 10:02:02,地铁入站,0,0,267020113,地铁九号线,梅村,IGT-113,0,2018-09-01 00:00:00
FFJFJGAGG,2018-09-01 10:02:18,地铁入站,0,0,267020114,地铁九号线,梅村,IGT-114,0,2018-09-01 00:00:00
FIAGFFJDC,2018-09-01 08:49:28,巴士,200,250,224004190,西部公共汽车,M355线（混租电动）,粤B04403D,0,2018-09-01 00:00:00
CBHJBJFBC,2018-09-01 10:00:35,地铁入站,0,0,267020123,地铁九号线,梅村,IGT-123,0,2018-09-01 00:00:00
BIJBBEBHE,2018-09-01 10:03:43,地铁出站,190,200,265025116,地铁七号线,福民,双AGM22-23,0,2018-09-01 00:00:00
FIAHFICGD,2018-09-01 09:59:57,地铁出站,475,500,267020109,地铁九号线,梅村,OGT-109,0,2018-09-01 00:00:00
FHDIAIIAG,2018-09-01 09:03:51,巴士,200,250,224004190,西部公共汽车,M355线（混租电动）,粤B04403D,0,2018-09-01 00:00:00
BEBJAHBJA,2018-09-01 10:03:39,地铁入站,0,0,267020124,地铁九号线,梅村,IGT-124,0,2018-09-01 00:00:00
CBHGDBEEC,2018-09-01 10:04:48,地铁出站,665,700,265025103,地铁七号线,福民,出AGM04-05,0,2018-09-01 00:00:00
FFFFGCFAC,2018-09-01 10:01:15,地铁出站,285,300,265025112,地铁七号线,福民,出AGM17-18,0,2018-09-01 00:00:00
FIJCFDIIJ,2018-09-01 10:09:28,地铁出站,285,300,261029106,地铁三号线,吉祥,AGM-106,0,2018-09-01 00:00:00
CFJGIFFJB,2018-09-01 08:50:46,巴士,160,200,231011512,巴士集团,M344,01742D,0,2018-09-01 00:00:00
BJAEDBBJ,2018-09-01 10:04:43,地铁出站,190,200,268026106,地铁一号线,大新,OGT-106,0,2018-09-01 00:00:00
FHFHIAEAF,2018-09-01 10:05:58,地铁入站,0,0,261028102,地铁三号线,爱联,AGM-102,0,2018-09-01 00:00:00
FHIICEBAC,2018-09-01 10:05:51,地铁入站,0,0,261018119,地铁三号线,布吉,AGM-119,0,2018-09-01 00:00:00
FFEGABAGA,2018-09-01 10:02:54,地铁入站,0,0,268006109,地铁一号线,华强路站,AGT-109,0,2018-09-01 00:00:00
FIFJJJAFC,2018-09-01 10:03:28,地铁出站,665,700,268025101,地铁一号线,桃园,OGT-101,0,2018-09-01 00:00:00
FHIGDBCBE,2018-09-01 10:02:20,地铁出站,285,300,265024109,地铁七号线,皇岗村,出AGM10-11,0,2018-09-01 00:00:00
FFFDBJIFB,2018-09-01 10:00:07,地铁入站,0,0,267018117,地铁九号线,梅景,IGT-117,0,2018-09-01 00:00:00
FHEDCGCCB,2018-09-01 10:07:33,地铁入站,0,0,261015110,地铁三号线,田贝,AGM-110,0,2018-09-01 00:00:00
CBACEJADA,2018-09-01 10:07:37,地铁出站,380,400,261015103,地铁三号线,田贝,AGM-103,0,2018-09-01 00:00:00
CFBIABHDI,2018-09-01 10:08:24,地铁出站,475,500,261020112,地铁三号线,大芬,AGM-112,0,2018-09-01 00:00:00
FHHFBCDGB,2018-09-01 10:08:56,地铁出站,380,400,261004112,地铁三号线,石厦,AGM-112,0,2018-09-01 00:00:00
FHDHIGDCA,2018-09-01 10:09:51,地铁入站,0,0,261011112,地铁三号线,红岭,AGM-112,0,2018-09-01 00:00:00
CBGCECDGA,2018-09-01 10:09:41,地铁入站,0,0,261021103,地铁三号线,丹竹头,AGM-103,0,2018-09-01 00:00:00
CCADGIGEE,2018-09-01 10:04:38,地铁入站,0,0,268002129,地铁一号线,,,0,2018-09-01 00:00:00
FHHEBDEDH,2018-09-01 10:05:02,地铁入站,0,0,268022121,地铁一号线,白石洲,AGM-121,0,2018-09-01 00:00:00
FFIJAJIDI,2018-09-01 10:05:47,地铁入站,0,0,268007116,地铁一号线,岗厦站,IGT-116,0,2018-09-01 00:00:00
FHIDDDCDG,2018-09-01 10:05:22,地铁出站,190,200,268006101,地铁一号线,华强路站,OGT-101,0,2018-09-01 00:00:00
