card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
CBEFJIFED,2018-09-01 08:38:46,巴士,160,200,231020253,巴士集团,M204,37639D,0,2018-09-01 00:00:00
FFEBCGCIF,2018-09-01 09:03:10,巴士,160,200,231020253,巴士集团,M204,37639D,0,2018-09-01 00:00:00
FHDIGAAHB,2018-09-01 07:37:58,巴士,160,200,231020254,巴士集团,8路,45800D,0,2018-09-01 00:00:00
FHHAACIAF,2018-09-01 08:33:23,巴士,120,200,231020254,巴士集团,8路,45800D,1,2018-09-01 00:00:00
HJBDJDJC,2018-09-01 08:53:02,巴士,160,200,231020254,巴士集团,8路,45800D,0,2018-09-01 00:00:00
CCAEAADEG,2018-09-01 08:58:46,巴士,160,200,231020254,巴士集团,8路,45800D,0,2018-09-01 00:00:00
FFGCFEFAA,2018-09-01 08:28:27,巴士,160,250,231020256,巴士集团,52路,31301D,1,2018-09-01 00:00:00
HJCJHABD,2018-09-01 08:39:45,巴士,200,250,231020256,巴士集团,52路,31301D,0,2018-09-01 00:00:00
BJIEBAJI,2018-09-01 07:40:31,巴士,40,100,231020257,巴士集团,B708,39941D,1,2018-09-01 00:00:00
FIADHFADD,2018-09-01 08:08:41,巴士,80,100,231020257,巴士集团,B708,39941D,0,2018-09-01 00:00:00
DIBFCABJC,2018-09-01 08:58:46,巴士,0,200,231020258,巴士集团,103路,32257D,0,2018-09-01 00:00:00
FIABCECIB,2018-09-01 08:20:58,巴士,240,300,231020259,巴士集团,M133,08939D,0,2018-09-01 00:00:00
CFBEHDEIG,2018-09-01 08:35:40,巴士,240,300,231020259,巴士集团,M133,08939D,0,2018-09-01 00:00:00
CFAJEBJAH,2018-09-01 09:00:12,巴士,160,200,231020260,巴士集团,371路,02771D,0,2018-09-01 00:00:00
CBJJGGFBI,2018-09-01 09:00:52,巴士,160,200,231020260,巴士集团,371路,02771D,0,2018-09-01 00:00:00
FFCBJHJGD,2018-09-01 07:27:14,巴士,160,200,231020261,巴士集团,103路,37748D,0,2018-09-01 00:00:00
CBBDBIFJF,2018-09-01 07:58:59,巴士,425,600,231020261,巴士集团,103路,37748D,1,2018-09-01 00:00:00
FHEEHBHDD,2018-09-01 07:56:38,巴士,200,250,231020262,巴士集团,66路,47732D,0,2018-09-01 00:00:00
CBEGHGIJE,2018-09-01 08:12:40,巴士,200,250,231020262,巴士集团,66路,47732D,0,2018-09-01 00:00:00
FHEGFCGHF,2018-09-01 08:36:03,巴士,200,250,231020262,巴士集团,66路,47732D,0,2018-09-01 00:00:00
FHGAAIAFC,2018-09-01 08:51:31,巴士,160,250,231020262,巴士集团,66路,47732D,1,2018-09-01 00:00:00
CFABGDEGE,2018-09-01 08:42:08,巴士,240,300,231020263,巴士集团,M300,45848D,0,2018-09-01 00:00:00
FHIGBEAHB,2018-09-01 07:30:48,巴士,160,200,231020264,巴士集团,204路,37159D,0,2018-09-01 00:00:00
FHIDICAEJ,2018-09-01 08:29:56,巴士,160,200,231020264,巴士集团,204路,37159D,0,2018-09-01 00:00:00
FFFIBHIDI,2018-09-01 08:35:54,巴士,120,200,231020264,巴士集团,204路,37159D,1,2018-09-01 00:00:00
CFHCGIEAI,2018-09-01 08:36:17,巴士,120,200,231020264,巴士集团,204路,37159D,1,2018-09-01 00:00:00
CBFBBFEBA,2018-09-01 07:43:54,巴士,80,100,231020266,巴士集团,B709,00920D,0,2018-09-01 00:00:00
FFEDBEDEB,2018-09-01 07:33:15,巴士,40,100,231020274,巴士集团,B708,09357D,1,2018-09-01 00:00:00
FHGCHBJHD,2018-09-01 07:59:48,巴士,80,100,231020274,巴士集团,B708,09357D,0,2018-09-01 00:00:00
FHGDDAHCH,2018-09-01 08:06:25,巴士,120,200,231020276,巴士集团,37路,01665D,1,2018-09-01 00:00:00
FHFJFECDD,2018-09-01 08:07:08,巴士,120,200,231020276,巴士集团,37路,01665D,1,2018-09-01 00:00:00
CBCHDHEBF,2018-09-01 08:12:03,巴士,160,200,231020276,巴士集团,37路,01665D,0,2018-09-01 00:00:00
FIADEDCDB,2018-09-01 08:19:30,巴士,160,200,231020276,巴士集团,37路,01665D,0,2018-09-01 00:00:00
CFBGCJIGG,2018-09-01 07:24:03,巴士,80,100,231020277,巴士集团,B605,08492D,0,2018-09-01 00:00:00
