card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FHHCIBJBG,2018-09-01 08:56:18,地铁出站,285,300,267016102,地铁九号线,香梅,OGT-102,0,2018-09-01 00:00:00
BIFCHBCDE,2018-09-01 07:38:16,巴士,120,200,224001468,西部公共汽车,M262线（混租电动）,粤B08557D,1,2018-09-01 00:00:00
CBCGHCBCJ,2018-09-01 09:01:18,地铁出站,190,200,268029102,地铁一号线,新安,OGT-102,0,2018-09-01 00:00:00
FHEAGFHCB,2018-09-01 06:45:04,巴士,160,200,224001521,西部公共汽车,789线（混租电动）,粤B40136D,0,2018-09-01 00:00:00
BEAGEJFBA,2018-09-01 06:38:13,巴士,50,100,224001531,西部公共汽车,B663线（混租电动）,粤B03529D,0,2018-09-01 00:00:00
FHHCDCAFD,2018-09-01 08:57:42,地铁入站,0,0,263020129,地铁五号线,,,0,2018-09-01 00:00:00
FFEFGAHAD,2018-09-01 08:57:59,地铁出站,475,500,263020109,地铁五号线,西丽,AGT-109,0,2018-09-01 00:00:00
CCJHHIDJD,2018-09-01 08:59:06,地铁出站,475,500,263020124,地铁五号线,西丽,IGT-124,0,2018-09-01 00:00:00
FHHCBBFCA,2018-09-01 08:58:41,地铁入站,0,0,263020119,地铁五号线,西丽,OGT-119,0,2018-09-01 00:00:00
FHHFGCIGH,2018-09-01 09:02:32,地铁入站,0,0,268025115,地铁一号线,桃园,IGT-115,0,2018-09-01 00:00:00
BICEDJDIF,2018-09-01 08:57:04,地铁出站,475,500,260034118,地铁二号线,华强北,AGT-118,0,2018-09-01 00:00:00
FHHEGBHHH,2018-09-01 08:58:59,地铁出站,380,400,241015104,地铁十一号线,南山站,OGT-104,0,2018-09-01 00:00:00
CFBBIIFCA,2018-09-01 08:57:12,地铁出站,475,500,260030114,地铁二号线,莲花西,OGT-114,0,2018-09-01 00:00:00
FHHBDAEDC,2018-09-01 08:57:41,地铁出站,380,400,268012164,地铁一号线,,,0,2018-09-01 00:00:00
FFGEIDGEB,2018-09-01 09:02:04,地铁出站,285,300,261027114,地铁三号线,大运,AGM-114,0,2018-09-01 00:00:00
FHHIEHEGC,2018-09-01 09:02:39,地铁出站,665,700,261020112,地铁三号线,大芬,AGM-112,0,2018-09-01 00:00:00
CCACIIEHE,2018-09-01 09:02:31,地铁出站,475,500,261020114,地铁三号线,大芬,AGM-114,0,2018-09-01 00:00:00
CBCEBCEGG,2018-09-01 08:55:33,地铁入站,0,0,265021115,地铁七号线,上沙,宽AGM18-19,0,2018-09-01 00:00:00
FHHEGDDAF,2018-09-01 08:58:48,地铁出站,190,200,268006104,地铁一号线,华强路站,OGT-104,0,2018-09-01 00:00:00
FFHEBIFAB,2018-09-01 08:58:14,地铁入站,0,0,241018119,地铁十一号线,碧海湾站,IGT-119,0,2018-09-01 00:00:00
FIJBECFDB,2018-09-01 09:04:01,地铁出站,435,500,261009138,地铁三号线,,,1,2018-09-01 00:00:00
CFBABCEAG,2018-09-01 08:59:34,地铁入站,0,0,268032119,地铁一号线,,,0,2018-09-01 00:00:00
BICIDAEGC,2018-09-01 08:54:55,地铁入站,0,0,265022130,地铁七号线,沙尾,进AGM25-26,0,2018-09-01 00:00:00
FHDHADHJF,2018-09-01 09:00:48,地铁出站,380,400,268016119,地铁一号线,世界之窗站,"OGT-119 ",0,2018-09-01 00:00:00
FHICDIDEA,2018-09-01 07:39:04,巴士,200,250,224001442,西部公共汽车,M450线（混租电动）,粤B36220D,0,2018-09-01 00:00:00
FHIFIFHCB,2018-09-01 06:58:30,巴士,160,200,224001456,西部公共汽车,M249线（混租电动）,粤B06045D,0,2018-09-01 00:00:00
FHIEGIAIF,2018-09-01 06:40:03,巴士,160,200,224001457,西部公共汽车,629线（混租电动）,粤B04452D,0,2018-09-01 00:00:00
FHEGBJGEA,2018-09-01 07:36:34,巴士,160,200,224001457,西部公共汽车,629线（混租电动）,粤B04452D,0,2018-09-01 00:00:00
FHGJEEGEC,2018-09-01 07:30:09,巴士,160,200,224001451,西部公共汽车,M253线（混租电动）,粤B38209D,0,2018-09-01 00:00:00
BEAHHABAC,2018-09-01 06:33:53,巴士,125,250,224001454,西部公共汽车,M378线（混租电动）,粤B32200D,0,2018-09-01 00:00:00
BIBICCCID,2018-09-01 07:46:38,巴士,160,200,224001467,西部公共汽车,612线（混租电动）,粤B38881D,0,2018-09-01 00:00:00
FFGFHFJEJ,2018-09-01 07:48:57,巴士,160,200,224001467,西部公共汽车,612线（混租电动）,粤B38881D,0,2018-09-01 00:00:00
FFEACDHGH,2018-09-01 06:38:41,巴士,530,700,224001459,西部公共汽车,高快巴士6号（混租电动),粤B06865D,0,2018-09-01 00:00:00
FHCJEIEJD,2018-09-01 07:21:02,巴士,530,700,224001459,西部公共汽车,高快巴士6号（混租电动),粤B06865D,0,2018-09-01 00:00:00
CBIBDGFIC,2018-09-01 07:41:52,巴士,160,200,224001468,西部公共汽车,M262线（混租电动）,粤B08557D,0,2018-09-01 00:00:00
FHDEHGIGD,2018-09-01 09:01:21,地铁入站,0,0,268024109,地铁一号线,深圳大学,AGM-109,0,2018-09-01 00:00:00
CBCAECBBH,2018-09-01 09:01:28,地铁出站,380,400,268007120,地铁一号线,岗厦站,AGT-120,0,2018-09-01 00:00:00
HHJJBHAFD,2018-09-01 09:01:41,地铁入站,0,0,268026111,地铁一号线,大新,IGT-111,0,2018-09-01 00:00:00
CCAACAABC,2018-09-01 08:57:48,地铁入站,0,0,267024124,地铁九号线,泥岗,IGT-124,0,2018-09-01 00:00:00
FFGHHBGAF,2018-09-01 09:00:38,地铁出站,665,700,241017104,地铁十一号线,宝安站,OGT-104,0,2018-09-01 00:00:00
CCJFHCFAC,2018-09-01 07:14:24,巴士,160,200,224002415,西部公共汽车,M206线（混租电动）,粤B45673D,0,2018-09-01 00:00:00
FFFDAJAJG,2018-09-01 07:55:32,巴士,160,200,224002416,西部公共汽车,M349线（混租电动）,粤B07646D,0,2018-09-01 00:00:00
CCJCEGBDG,2018-09-01 07:04:04,巴士,160,200,224002418,西部公共汽车,高峰专线107号（混租电动）,粤B34432D,0,2018-09-01 00:00:00
FHDADGAIA,2018-09-01 07:53:39,巴士,40,100,224002458,西部公共汽车,B711线,粤BAY415,1,2018-09-01 00:00:00
FHGHHDGJA,2018-09-01 07:33:01,巴士,160,200,224002457,西部公共汽车,338线（混租电动）,粤B08808D,0,2018-09-01 00:00:00
FHFBFGGGB,2018-09-01 06:47:13,巴士,80,100,224002464,西部公共汽车,B920线（混租电动）,粤B01301D,0,2018-09-01 00:00:00
CFBHHDIAH,2018-09-01 07:27:32,巴士,200,250,224002564,西部公共汽车,M450线（混租电动）,粤B40522D,0,2018-09-01 00:00:00
CFCBBFEHJ,2018-09-01 07:48:28,巴士,200,250,224002564,西部公共汽车,M450线（混租电动）,粤B40522D,0,2018-09-01 00:00:00
BIFCIBFJE,2018-09-01 06:50:26,巴士,200,250,224002569,西部公共汽车,393线（混租电动）,粤B30926D,0,2018-09-01 00:00:00
CFBAIBBFA,2018-09-01 07:54:40,巴士,240,300,224002575,西部公共汽车,336线（混租电动）,粤B35353D,0,2018-09-01 00:00:00
FFEHFFIHI,2018-09-01 06:42:15,巴士,200,250,224002608,西部公共汽车,322线（混租电动),粤B01913D,0,2018-09-01 00:00:00
FHHDFIHJC,2018-09-01 07:02:28,巴士,160,250,224002608,西部公共汽车,322线（混租电动),粤B01913D,1,2018-09-01 00:00:00
FHIGCBHJH,2018-09-01 05:39:59,巴士,160,200,224002630,西部公共汽车,M284线（混租电动）,粤B07253D,0,2018-09-01 00:00:00
CBFFGGDIH,2018-09-01 07:03:12,巴士,160,200,224002642,西部公共汽车,M183线（混租电动）,粤B07461D,0,2018-09-01 00:00:00
CBIDCJCEG,2018-09-01 07:17:51,巴士,160,200,224002642,西部公共汽车,M183线（混租电动）,粤B07461D,0,2018-09-01 00:00:00
FHHEGDHJG,2018-09-01 07:53:48,巴士,160,200,224002652,西部公共汽车,336线,粤BBE627,0,2018-09-01 00:00:00
CBBAHBCED,2018-09-01 07:53:05,巴士,160,200,224002664,西部公共汽车,M206线（混租电动）,粤B42139D,0,2018-09-01 00:00:00
BIDIHDGHH,2018-09-01 06:23:14,巴士,160,200,224002675,西部公共汽车,336线,粤BBE729,0,2018-09-01 00:00:00
CBHJCBDAB,2018-09-01 06:43:05,巴士,160,200,224002675,西部公共汽车,336线,粤BBE729,0,2018-09-01 00:00:00
FIJGHJJCA,2018-09-01 07:31:19,巴士,160,200,224002675,西部公共汽车,336线,粤BBE729,0,2018-09-01 00:00:00
CCADIIBBG,2018-09-01 09:00:26,地铁出站,245,300,261005105,地铁三号线,购物公园,AGM-105,1,2018-09-01 00:00:00
CBJDHCDEJ,2018-09-01 09:00:37,地铁出站,190,200,261014106,地铁三号线,翠竹,AGM-106,0,2018-09-01 00:00:00
FHGBJCHHE,2018-09-01 09:00:59,地铁出站,285,300,261020108,地铁三号线,大芬,AGM-108,0,2018-09-01 00:00:00
FIJHCEGGA,2018-09-01 08:58:02,地铁入站,0,0,268034104,地铁一号线,固戍,AGT-104,0,2018-09-01 00:00:00
FHIHHIEIF,2018-09-01 09:02:28,地铁出站,285,300,261015112,地铁三号线,田贝,AGM-112,0,2018-09-01 00:00:00
CCAADHEBF,2018-09-01 08:58:36,地铁入站,0,0,268026115,地铁一号线,大新,AGT-115,0,2018-09-01 00:00:00
FHHDCHBBA,2018-09-01 08:54:33,地铁入站,0,0,265021124,地铁七号线,上沙,进AGM31-32,0,2018-09-01 00:00:00
BJIEDBGH,2018-09-01 08:53:47,地铁入站,0,0,265021122,地铁七号线,上沙,进AGM29-30,0,2018-09-01 00:00:00
FHGBGJJAE,2018-09-01 09:03:03,地铁入站,0,0,261024117,地铁三号线,横岗,AGM-117,0,2018-09-01 00:00:00
FHIGADAGA,2018-09-01 06:00:10,巴士,160,200,224001336,西部公共汽车,336线,粤BBE721,0,2018-09-01 00:00:00
CFFJBFDFC,2018-09-01 09:03:42,地铁入站,0,0,261021118,地铁三号线,丹竹头,AGM-118,0,2018-09-01 00:00:00
FHIICBHBF,2018-09-01 08:53:14,地铁出站,475,500,241018120,地铁十一号线,碧海湾站,OGT-120,0,2018-09-01 00:00:00
FHFIIHEAI,2018-09-01 07:38:02,巴士,160,200,224001382,西部公共汽车,336线,粤BBE702,0,2018-09-01 00:00:00
FFGEJBEJB,2018-09-01 07:41:35,巴士,120,200,224001382,西部公共汽车,336线,粤BBE702,0,2018-09-01 00:00:00
CBGDECBEJ,2018-09-01 07:52:22,巴士,120,200,224001382,西部公共汽车,336线,粤BBE702,0,2018-09-01 00:00:00
BIBEJHAIH,2018-09-01 06:52:06,巴士,160,200,224001383,西部公共汽车,M289线（混租电动）,粤B05022D,0,2018-09-01 00:00:00
AHJJAFCFI,2018-09-01 07:00:38,巴士,160,200,224001381,西部公共汽车,M183线（混租电动）,粤B03998D,0,2018-09-01 00:00:00
FIJCHFFEI,2018-09-01 09:03:33,地铁入站,0,0,261012138,地铁三号线,老街,AGM-138,0,2018-09-01 00:00:00
BEBADFJIB,2018-09-01 09:03:56,地铁出站,100,200,261029111,地铁三号线,吉祥,AGM-111,0,2018-09-01 00:00:00
FHDDIFHHE,2018-09-01 08:59:22,地铁出站,380,400,268023118,地铁一号线,,,0,2018-09-01 00:00:00
CBFCHIGCG,2018-09-01 08:59:20,地铁入站,0,0,268006125,地铁一号线,华强路站,OGT-125,0,2018-09-01 00:00:00
FIAJHCBAF,2018-09-01 09:04:22,地铁入站,0,0,261010122,地铁三号线,通新岭,AGM-122,0,2018-09-01 00:00:00
CBAIHFDCC,2018-09-01 09:00:17,地铁入站,0,0,268013131,地铁一号线,竹子林站,"AGT-131 ",0,2018-09-01 00:00:00
CCABADCEA,2018-09-01 09:04:59,地铁入站,0,0,261019119,地铁三号线,木棉湾,AGM-119,0,2018-09-01 00:00:00
FHFEIHDCJ,2018-09-01 09:00:20,地铁入站,0,0,268032127,地铁一号线,,,0,2018-09-01 00:00:00
FHCAAECCH,2018-09-01 09:00:28,地铁出站,285,300,268032113,地铁一号线,坪洲,IGT-113,0,2018-09-01 00:00:00
FHGBEEGJJ,2018-09-01 09:00:43,地铁出站,570,600,268011101,地铁一号线,香蜜湖站,OGT-101,0,2018-09-01 00:00:00
FHHEACJCI,2018-09-01 08:58:48,地铁出站,190,200,267027101,地铁九号线,红岭,OGT-101,0,2018-09-01 00:00:00
FIJCCGJJD,2018-09-01 08:57:07,地铁出站,190,200,241025103,地铁十一号线,沙井,OGT-103,0,2018-09-01 00:00:00
FIHDBIFFJ,2018-09-01 08:49:14,地铁入站,0,0,268032128,地铁一号线,,,0,2018-09-01 00:00:00
FFEECGEJE,2018-09-01 09:01:42,地铁出站,285,300,268012165,地铁一号线,,,0,2018-09-01 00:00:00
BIAHEAIII,2018-09-01 09:01:59,地铁出站,285,300,268005114,地铁一号线,科学馆站,AGT-114,0,2018-09-01 00:00:00
FHDBAEHAI,2018-09-01 09:00:58,地铁出站,380,400,263020108,地铁五号线,西丽,OGT-108,0,2018-09-01 00:00:00
CCJFFGGBH,2018-09-01 09:02:14,地铁出站,285,300,268033105,地铁一号线,西乡,AGT-105,0,2018-09-01 00:00:00
FHIGDHJDF,2018-09-01 09:02:13,地铁出站,380,400,268030125,地铁一号线,宝安中心,OGT-125,0,2018-09-01 00:00:00
