card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
CBCAFAIGE,2018-09-01 07:37:06,地铁入站,0,0,261009158,地铁三号线,,,0,2018-09-01 00:00:00
BICEEAIDB,2018-09-01 07:34:14,地铁出站,190,200,268025111,地铁一号线,桃园,OGT-111,0,2018-09-01 00:00:00
BIDFAJGBJ,2018-09-01 07:34:26,地铁入站,0,0,268016117,地铁一号线,世界之窗站,OGT-117,0,2018-09-01 00:00:00
FHGHICJFF,2018-09-01 07:34:08,地铁入站,0,0,268027107,地铁一号线,鲤鱼门,IGT-107,0,2018-09-01 00:00:00
FHHHGFEIG,2018-09-01 07:37:12,地铁入站,0,0,261020102,地铁三号线,大芬,AGM-102,0,2018-09-01 00:00:00
FHFIFDBJD,2018-09-01 07:34:43,地铁出站,665,700,268004128,地铁一号线,大剧院站,OGT-128,0,2018-09-01 00:00:00
FHIJEEHGE,2018-09-01 07:37:15,地铁入站,0,0,261023111,地铁三号线,塘坑,AGM-111,0,2018-09-01 00:00:00
BEAAEEABH,2018-09-01 07:37:21,地铁出站,100,200,261008112,地铁三号线,莲花村,AGM-112,0,2018-09-01 00:00:00
FIFBJJEAG,2018-09-01 07:34:51,地铁入站,0,0,268001137,地铁一号线,罗湖站,OGT-137,0,2018-09-01 00:00:00
FHCJEHCDE,2018-09-01 07:34:17,地铁入站,0,0,268036111,地铁一号线,机场东,OGT-111,0,2018-09-01 00:00:00
FFGHEHCBC,2018-09-01 07:33:30,地铁出站,285,300,268031116,地铁一号线,宝体,OGT-116,0,2018-09-01 00:00:00
FHHHICBHG,2018-09-01 07:37:34,地铁入站,0,0,261029117,地铁三号线,吉祥,AGM-117,0,2018-09-01 00:00:00
BIGEHFCDG,2018-09-01 07:37:44,地铁入站,0,0,261020101,地铁三号线,大芬,AGM-101,0,2018-09-01 00:00:00
FIJGGEGAG,2018-09-01 07:38:01,地铁入站,0,0,261011111,地铁三号线,红岭,AGM-111,0,2018-09-01 00:00:00
CCJGDJEAE,2018-09-01 07:34:52,地铁入站,0,0,268030113,地铁一号线,宝安中心,IGT-113,0,2018-09-01 00:00:00
FFIABEHBD,2018-09-01 07:35:26,地铁出站,665,700,268035114,地铁一号线,后瑞,OGT-114,0,2018-09-01 00:00:00
FHIDHEGEJ,2018-09-01 07:34:54,地铁入站,0,0,268016114,地铁一号线,世界之窗站,AGT-114,0,2018-09-01 00:00:00
FIJJIJFCD,2018-09-01 07:35:19,地铁出站,570,600,268013112,地铁一号线,竹子林站,"IGT-112 ",0,2018-09-01 00:00:00
CCABEFJBH,2018-09-01 07:35:08,地铁出站,665,700,268001141,地铁一号线,罗湖站,AGM-141,0,2018-09-01 00:00:00
FHEHBEFDE,2018-09-01 07:38:24,地铁入站,0,0,261032116,地铁三号线,双龙,AGM-116,0,2018-09-01 00:00:00
FHDCEIFCF,2018-09-01 07:35:40,地铁入站,0,0,268025124,地铁一号线,桃园,IGT-124,0,2018-09-01 00:00:00
FHHCFEEAI,2018-09-01 07:35:47,地铁入站,0,0,268033123,地铁一号线,,,0,2018-09-01 00:00:00
CBAAGIDHA,2018-09-01 07:35:23,地铁入站,0,0,268026111,地铁一号线,大新,IGT-111,0,2018-09-01 00:00:00
FHDEDAEIC,2018-09-01 07:35:48,地铁入站,0,0,268016115,地铁一号线,世界之窗站,"AGT-115 ",0,2018-09-01 00:00:00
BEAHBBJHA,2018-09-01 07:35:52,地铁出站,250,500,268030125,地铁一号线,宝安中心,OGT-125,0,2018-09-01 00:00:00
FFEEDJCFD,2018-09-01 07:39:19,地铁入站,0,0,261011109,地铁三号线,红岭,AGM-109,0,2018-09-01 00:00:00
CBBJEJBCC,2018-09-01 07:39:26,地铁入站,0,0,261028118,地铁三号线,爱联,AGM-118,0,2018-09-01 00:00:00
FHHFHHGJG,2018-09-01 07:36:33,地铁出站,380,400,268034101,地铁一号线,固戍,AGT-101,0,2018-09-01 00:00:00
FFEGCGBFH,2018-09-01 07:36:12,地铁出站,570,600,268034114,地铁一号线,固戍,OGT-114,0,2018-09-01 00:00:00
BIBFCGEBC,2018-09-01 07:30:32,地铁入站,0,0,265035124,地铁七号线,笋岗,进AGM28-29,0,2018-09-01 00:00:00
FHFFDJCEH,2018-09-01 07:28:03,地铁入站,0,0,241015107,地铁十一号线,南山站,IGT-107,0,2018-09-01 00:00:00
FHEHDBGFE,2018-09-01 07:31:23,地铁入站,0,0,265035123,地铁七号线,笋岗,进AGM27-28,0,2018-09-01 00:00:00
CBJJEFDJA,2018-09-01 07:27:45,地铁入站,0,0,241015107,地铁十一号线,南山站,IGT-107,0,2018-09-01 00:00:00
HHAAJBCIE,2018-09-01 07:28:22,地铁入站,0,0,261009121,地铁三号线,华新,AGM-121,0,2018-09-01 00:00:00
CBCEJFCEC,2018-09-01 07:32:32,地铁入站,0,0,268033111,地铁一号线,西乡,OGT-111,0,2018-09-01 00:00:00
