card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
BBJJIHFH,2018-09-01 07:57:25,巴士,160,200,224002120,西部公共汽车,338线,粤BBB372,0,2018-09-01 00:00:00
FIJDFAEDF,2018-09-01 07:03:44,巴士,120,200,224002133,西部公共汽车,338线（混租电动）,粤B08609D,1,2018-09-01 00:00:00
FHDHCBBAA,2018-09-01 07:43:33,巴士,160,200,224002133,西部公共汽车,338线（混租电动）,粤B08609D,0,2018-09-01 00:00:00
FHGEBEIBI,2018-09-01 07:45:25,巴士,160,200,224002133,西部公共汽车,338线（混租电动）,粤B08609D,0,2018-09-01 00:00:00
FHGJJFDFA,2018-09-01 09:26:20,地铁出站,475,500,268008129,地铁一号线,会展中心站,AGT-129,0,2018-09-01 00:00:00
FHGIIDAEH,2018-09-01 09:27:22,地铁入站,0,0,268034104,地铁一号线,固戍,AGT-104,0,2018-09-01 00:00:00
FFIJIGICG,2018-09-01 09:27:22,地铁入站,0,0,268033113,地铁一号线,西乡,OGT-113,0,2018-09-01 00:00:00
FHGDJAHHJ,2018-09-01 09:27:13,地铁出站,285,300,268004127,地铁一号线,大剧院站,OGT-127,0,2018-09-01 00:00:00
FHIDFBIFA,2018-09-01 09:20:42,地铁出站,285,300,265026114,地铁七号线,皇岗口岸,双AGM19-20,0,2018-09-01 00:00:00
AEAJHFCHF,2018-09-01 09:22:27,地铁入站,0,0,265028129,地铁七号线,赤尾,进AGM32-33,0,2018-09-01 00:00:00
FIJFICDHI,2018-09-01 09:20:53,地铁入站,0,0,265022130,地铁七号线,沙尾,进AGM25-26,0,2018-09-01 00:00:00
FHEEAFDAF,2018-09-01 09:20:08,地铁出站,285,300,265022102,地铁七号线,沙尾,出AGM35-36,0,2018-09-01 00:00:00
FFIJAJHHD,2018-09-01 09:24:12,地铁出站,285,300,267020111,地铁九号线,梅村,OGT-111,0,2018-09-01 00:00:00
FHFHGIGEJ,2018-09-01 09:21:21,地铁入站,0,0,265029119,地铁七号线,华强南,进AGM11-12,0,2018-09-01 00:00:00
BIBFECIJA,2018-09-01 09:24:56,地铁入站,0,0,265029103,地铁七号线,华强南,进AGM18-19,0,2018-09-01 00:00:00
CBBIBEIEH,2018-09-01 09:21:07,地铁出站,190,200,265029115,地铁七号线,华强南,出AGM05-06,0,2018-09-01 00:00:00
BIDBBGFCF,2018-09-01 09:23:44,地铁入站,0,0,267025116,地铁九号线,红岭北,IGT-116,0,2018-09-01 00:00:00
FFEFJJBAE,2018-09-01 09:22:56,地铁入站,0,0,263020107,地铁五号线,西丽,OGT-107,0,2018-09-01 00:00:00
FHDIBFAEI,2018-09-01 09:21:50,地铁出站,475,500,263020111,地铁五号线,西丽,IGT-111,0,2018-09-01 00:00:00
FHEAHIBFA,2018-09-01 09:22:33,地铁出站,380,400,263020142,地铁五号线,,,0,2018-09-01 00:00:00
FFJIFDJJF,2018-09-01 07:34:27,巴士,200,250,231016642,巴士集团,4路,35299D,0,2018-09-01 00:00:00
FHICGGAFF,2018-09-01 09:22:22,地铁入站,0,0,265032109,地铁七号线,黄木岗,进AGM14-15,0,2018-09-01 00:00:00
FFGFDDJFJ,2018-09-01 09:22:15,地铁出站,190,200,265032117,地铁七号线,黄木岗,双AGM23-24,0,2018-09-01 00:00:00
FHGFBBJGI,2018-09-01 09:25:15,地铁出站,475,500,267014108,地铁九号线,下沙,OGT-108,0,2018-09-01 00:00:00
BICIDGHBH,2018-09-01 07:56:29,巴士,160,200,224003218,西部公共汽车,M252线（融资电动）,粤B45171D,0,2018-09-01 00:00:00
FHIADAHIG,2018-09-01 09:23:44,地铁出站,190,200,261009147,地铁三号线,,,0,2018-09-01 00:00:00
FHEAGHIGE,2018-09-01 09:25:02,地铁出站,190,200,265033116,地铁七号线,八卦岭,出AGM17-18,0,2018-09-01 00:00:00
