card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FHHJGFDDF,2018-09-01 09:19:33,地铁入站,0,0,261015110,地铁三号线,田贝,AGM-110,0,2018-09-01 00:00:00
CCABGAFFG,2018-09-01 09:15:32,地铁出站,475,500,268005117,地铁一号线,科学馆站,IGT-117,0,2018-09-01 00:00:00
FHIHGDBDB,2018-09-01 09:15:10,地铁入站,0,0,268026111,地铁一号线,大新,IGT-111,0,2018-09-01 00:00:00
FFJGCJAHJ,2018-09-01 09:15:26,地铁入站,0,0,268036108,地铁一号线,机场东,OGT-108,0,2018-09-01 00:00:00
FIJAEGEIH,2018-09-01 07:45:32,巴士,160,200,231017407,巴士集团,M486,04208D,0,2018-09-01 00:00:00
FHHFCGIJJ,2018-09-01 09:00:09,巴士,160,200,231017409,巴士集团,M562,08882D,0,2018-09-01 00:00:00
FIAJEGHJJ,2018-09-01 09:15:42,地铁出站,190,200,268001127,地铁一号线,罗湖站,OGT-127,0,2018-09-01 00:00:00
FHGAAJIAH,2018-09-01 09:15:32,地铁出站,285,300,268030125,地铁一号线,宝安中心,OGT-125,0,2018-09-01 00:00:00
BAABJACGD,2018-09-01 09:15:53,地铁出站,0,400,268001127,地铁一号线,罗湖站,OGT-127,0,2018-09-01 00:00:00
FHHBEFEFJ,2018-09-01 08:54:05,巴士,120,200,231017412,巴士集团,M506,04039D,1,2018-09-01 00:00:00
FFFHBDICD,2018-09-01 09:16:02,地铁出站,190,200,268009131,地铁一号线,,,0,2018-09-01 00:00:00
FFGCFEEAB,2018-09-01 09:16:18,地铁入站,0,0,268016143,地铁一号线,世界之窗站,IGT-143,0,2018-09-01 00:00:00
FIHFBHFIC,2018-09-01 09:16:06,地铁出站,380,400,268015111,地铁一号线,华侨城站,OGT-111,0,2018-09-01 00:00:00
CBIFDFEBB,2018-09-01 09:16:29,地铁入站,0,0,268023123,地铁一号线,,,0,2018-09-01 00:00:00
CBAGBCCIG,2018-09-01 09:16:50,地铁出站,380,400,268032122,地铁一号线,,,0,2018-09-01 00:00:00
FHDAFGAEJ,2018-09-01 09:17:03,地铁出站,285,300,268006134,地铁一号线,,,0,2018-09-01 00:00:00
CBIFGBDBI,2018-09-01 09:17:25,地铁入站,0,0,268001136,地铁一号线,罗湖站,OGT-136,0,2018-09-01 00:00:00
CBFDGGDBG,2018-09-01 09:10:42,地铁出站,190,200,267019105,地铁九号线,下梅林,OGT-105,0,2018-09-01 00:00:00
CFBHIGHJJ,2018-09-01 08:24:02,巴士,240,300,231018753,巴士集团,M488,09062D,0,2018-09-01 00:00:00
CBHBCFHDD,2018-09-01 07:34:52,巴士,160,200,231018755,巴士集团,M109,01483D,0,2018-09-01 00:00:00
FHDIAFJFC,2018-09-01 08:56:40,巴士,160,200,231018753,巴士集团,M488,09062D,0,2018-09-01 00:00:00
CCADCCDCF,2018-09-01 09:01:04,地铁出站,380,400,262020112,地铁四号线,,,0,2018-09-01 00:00:00
FIJBEDFIC,2018-09-01 09:12:34,地铁入站,0,0,263036110,地铁五号线,怡景,IGT-110,0,2018-09-01 00:00:00
FHDIHGHBI,2018-09-01 09:12:59,地铁入站,0,0,263017113,地铁五号线,洪浪北,AGT-113,0,2018-09-01 00:00:00
FFIAJBECB,2018-09-01 09:11:37,地铁出站,475,500,263028107,地铁五号线,杨美,OGT-107,0,2018-09-01 00:00:00
FFGBBHIAB,2018-09-01 09:14:37,地铁入站,0,0,263028114,地铁五号线,杨美,AGT-114,0,2018-09-01 00:00:00
FHIHHAJGB,2018-09-01 09:14:32,地铁出站,475,500,263027108,地铁五号线,坂田,OGT-108,0,2018-09-01 00:00:00
FHJBDGBBD,2018-09-01 07:17:21,巴士,160,200,231016160,巴士集团,M408,04465D,0,2018-09-01 00:00:00
FFHECJHDC,2018-09-01 08:54:30,巴士,160,200,231016163,巴士集团,M112,49735D,0,2018-09-01 00:00:00
BIJDDDGGJ,2018-09-01 09:03:22,巴士,160,200,231016163,巴士集团,M112,49735D,0,2018-09-01 00:00:00
BHABJBEID,2018-09-01 07:40:30,巴士,160,200,231016164,巴士集团,308路,05411D,0,2018-09-01 00:00:00
CBBEIEDDH,2018-09-01 08:31:59,巴士,120,200,231016164,巴士集团,308路,05411D,1,2018-09-01 00:00:00
CFAGEFCGH,2018-09-01 07:14:52,巴士,160,200,231016165,巴士集团,M408,36785D,0,2018-09-01 00:00:00
BIDBGFJBH,2018-09-01 07:37:13,巴士,120,200,231016165,巴士集团,M408,36785D,1,2018-09-01 00:00:00
CBEIJEAGC,2018-09-01 08:00:13,巴士,160,200,231016165,巴士集团,M408,36785D,0,2018-09-01 00:00:00
