card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FFJGFGBFD,2018-09-01 08:24:01,地铁入站,0,0,267024123,地铁九号线,泥岗,IGT-123,0,2018-09-01 00:00:00
BEAEDDJAE,2018-09-01 08:25:36,地铁入站,0,0,260029102,地铁二号线,景田,IGT-102,0,2018-09-01 00:00:00
CFBIHCICJ,2018-09-01 08:26:18,地铁入站,0,0,241026123,地铁十一号线,后亭,IGT-123,0,2018-09-01 00:00:00
CFBCFEFCI,2018-09-01 07:43:33,地铁出站,190,200,268017117,地铁四号线,福田口岸,"AGT-117 ",0,2018-09-01 00:00:00
CFBCCBEHG,2018-09-01 08:20:36,地铁入站,0,0,262013104,地铁四号线,龙胜,AGM-104,0,2018-09-01 00:00:00
FIJIBBCJA,2018-09-01 08:25:51,地铁入站,0,0,263017112,地铁五号线,洪浪北,IGT-112,0,2018-09-01 00:00:00
FFEBBDDCF,2018-09-01 08:26:19,地铁出站,475,500,263026115,地铁五号线,五和,AGT-115,0,2018-09-01 00:00:00
BEAIFHJIF,2018-09-01 08:26:41,地铁出站,200,400,263037106,地铁五号线,黄贝岭,OGT-106,0,2018-09-01 00:00:00
CCJGDGGBJ,2018-09-01 08:28:36,地铁入站,0,0,263026112,地铁五号线,五和,IGT-112,0,2018-09-01 00:00:00
BIDJEGIFC,2018-09-01 08:28:26,地铁入站,0,0,263021102,地铁五号线,大学城,IGT-102,0,2018-09-01 00:00:00
FIAGIAIEA,2018-09-01 08:30:40,地铁入站,0,0,263026120,地铁五号线,五和,IGT-120,0,2018-09-01 00:00:00
BIDECGABB,2018-09-01 08:30:49,地铁入站,0,0,263026112,地铁五号线,五和,IGT-112,0,2018-09-01 00:00:00
FFGFFHAJC,2018-09-01 08:29:43,地铁入站,0,0,263033115,地铁五号线,百鸽笼,IGT-115,0,2018-09-01 00:00:00
FHHBGIFGI,2018-09-01 08:29:20,地铁出站,285,300,263023114,地铁五号线,长岭陂,OGT-114,0,2018-09-01 00:00:00
BICGGFAJC,2018-09-01 08:29:33,地铁入站,0,0,261024117,地铁三号线,横岗,AGM-117,0,2018-09-01 00:00:00
FHGDIECFC,2018-09-01 08:27:46,地铁出站,435,500,268006129,地铁一号线,华强路站,OGT-129,1,2018-09-01 00:00:00
FFJBIEECE,2018-09-01 08:25:46,地铁出站,190,200,265033103,地铁七号线,八卦岭,出AGM32-31,0,2018-09-01 00:00:00
CBBDHHJIF,2018-09-01 08:25:57,地铁出站,475,500,265033116,地铁七号线,八卦岭,出AGM17-18,0,2018-09-01 00:00:00
CFBEGEAAF,2018-09-01 08:33:07,地铁入站,0,0,261022114,地铁三号线,六约,AGM-114,0,2018-09-01 00:00:00
FHFGIJAED,2018-09-01 08:33:17,地铁入站,0,0,261028118,地铁三号线,爱联,AGM-118,0,2018-09-01 00:00:00
FIJBAHJGI,2018-09-01 08:33:35,地铁入站,0,0,261023108,地铁三号线,塘坑,AGM-108,0,2018-09-01 00:00:00
FFEBJHAIA,2018-09-01 08:33:43,地铁入站,0,0,261019118,地铁三号线,木棉湾,AGM-118,0,2018-09-01 00:00:00
FFEJDEJGH,2018-09-01 08:33:47,地铁出站,435,500,261021108,地铁三号线,丹竹头,AGM-108,1,2018-09-01 00:00:00
DDAAHIAIC,2018-09-01 08:29:34,地铁入站,0,0,241024109,地铁十一号线,马鞍山,IGT-109,0,2018-09-01 00:00:00
FHGBGADAF,2018-09-01 08:29:41,地铁入站,0,0,268036108,地铁一号线,机场东,OGT-108,0,2018-09-01 00:00:00
FHDIFDBJA,2018-09-01 08:29:18,地铁入站,0,0,268027107,地铁一号线,鲤鱼门,IGT-107,0,2018-09-01 00:00:00
FHEHHBDED,2018-09-01 08:29:43,地铁出站,285,300,268016120,地铁一号线,世界之窗站,OGT-120,0,2018-09-01 00:00:00
CBBIHBGCF,2018-09-01 08:30:24,地铁出站,340,400,268034110,地铁一号线,固戍,OGT-110,1,2018-09-01 00:00:00
BIFBHHFDF,2018-09-01 08:30:22,地铁出站,285,300,268034112,地铁一号线,固戍,OGT-112,0,2018-09-01 00:00:00
FIHDJABJE,2018-09-01 08:31:38,地铁入站,0,0,265036112,地铁七号线,洪湖,进AGM16-17,0,2018-09-01 00:00:00
FFFEHGABD,2018-09-01 08:31:30,地铁入站,0,0,265036112,地铁七号线,洪湖,进AGM16-17,0,2018-09-01 00:00:00
CBJAJEBAE,2018-09-01 08:30:39,地铁出站,475,500,265015108,地铁七号线,龙井,出AGM11-12,0,2018-09-01 00:00:00
FHCADEHAA,2018-09-01 08:27:26,地铁出站,475,500,265032112,地铁七号线,黄木岗,双AGM17-18,0,2018-09-01 00:00:00
FHFJBHBEC,2018-09-01 08:32:08,地铁出站,570,600,268030125,地铁一号线,宝安中心,OGT-125,0,2018-09-01 00:00:00
CFBICFCFJ,2018-09-01 08:29:25,地铁出站,475,500,241015114,地铁十一号线,南山站,OGT-114,0,2018-09-01 00:00:00
FIJFIJDBE,2018-09-01 08:30:36,地铁入站,0,0,267014118,地铁九号线,下沙,IGT-118,0,2018-09-01 00:00:00
CBJGHGCEH,2018-09-01 08:31:20,地铁入站,0,0,267014116,地铁九号线,下沙,IGT-116,0,2018-09-01 00:00:00
FFAJCIBBH,2018-09-01 08:30:31,地铁出站,190,200,267028125,地铁九号线,红岭南,OGT-125,0,2018-09-01 00:00:00
FFIJHAJCG,2018-09-01 08:20:50,地铁入站,0,0,262017112,地铁四号线,,,0,2018-09-01 00:00:00
FHFBACAFJ,2018-09-01 08:21:34,地铁入站,0,0,262011104,地铁四号线,清湖,AGM-104,0,2018-09-01 00:00:00
BEBACICHD,2018-09-01 08:30:22,地铁出站,100,200,263035109,地铁五号线,太安,OGT-109,0,2018-09-01 00:00:00
FFEAEICCB,2018-09-01 08:27:36,地铁出站,190,200,262011102,地铁四号线,清湖,AGM-102,0,2018-09-01 00:00:00
CFCABIBCJ,2018-09-01 08:28:50,地铁入站,0,0,262014111,地铁四号线,上塘,AGM-111,0,2018-09-01 00:00:00
BIBIAABGD,2018-09-01 08:27:06,地铁出站,570,600,262013102,地铁四号线,龙胜,AGM-102,0,2018-09-01 00:00:00
CBGBEGBID,2018-09-01 08:26:42,地铁出站,475,500,262014106,地铁四号线,上塘,AGM-106,0,2018-09-01 00:00:00
CFHBIBEJG,2018-09-01 08:30:36,地铁入站,0,0,262014109,地铁四号线,上塘,AGM-109,0,2018-09-01 00:00:00
CFBDHBGAF,2018-09-01 08:29:42,地铁入站,0,0,262014109,地铁四号线,上塘,AGM-109,0,2018-09-01 00:00:00
BIFDAECFE,2018-09-01 08:29:56,地铁入站,0,0,262012118,地铁四号线,龙华,AGM-118,0,2018-09-01 00:00:00
CCJFGDIFB,2018-09-01 08:32:29,地铁出站,190,200,263021110,地铁五号线,大学城,OGT-110,0,2018-09-01 00:00:00
CCJGAGDJD,2018-09-01 08:31:48,地铁入站,0,0,263034115,地铁五号线,布心,IGT-115,0,2018-09-01 00:00:00
CFAGDEIEI,2018-09-01 08:32:40,地铁出站,475,500,263026104,地铁五号线,五和,OGT-104,0,2018-09-01 00:00:00
BHGAIJEDA,2018-09-01 08:32:20,地铁入站,0,0,260015110,地铁二号线,东角头,IGT-110,0,2018-09-01 00:00:00
BIDCIIEJJ,2018-09-01 08:32:07,地铁入站,0,0,260017112,地铁二号线,海月,IGT-112,0,2018-09-01 00:00:00
FHECIBIEJ,2018-09-01 08:29:50,地铁入站,0,0,263037112,地铁五号线,黄贝岭,IGT-112,0,2018-09-01 00:00:00
FHGGFBCHG,2018-09-01 08:29:43,地铁入站,0,0,263017110,地铁五号线,洪浪北,IGT-110,0,2018-09-01 00:00:00
FFCHBJAAJ,2018-09-01 08:29:27,地铁出站,530,600,263018113,地铁五号线,兴东,AGT-113,1,2018-09-01 00:00:00
FHGAAHFHH,2018-09-01 08:29:51,地铁出站,475,500,263037135,地铁五号线,黄贝岭,OGT-135,0,2018-09-01 00:00:00
FFAEBBDJI,2018-09-01 08:30:56,地铁入站,0,0,263026121,地铁五号线,五和,AGT-121,0,2018-09-01 00:00:00
FIACAFFJC,2018-09-01 08:30:29,地铁出站,380,400,263026102,地铁五号线,五和,OGT-102,0,2018-09-01 00:00:00
FFGCHIJIH,2018-09-01 08:30:23,地铁出站,245,300,263026107,地铁五号线,五和,OGT-107,1,2018-09-01 00:00:00
FIAHDFHFC,2018-09-01 08:27:51,地铁入站,0,0,260021115,地铁二号线,红树湾,IGT-115,0,2018-09-01 00:00:00
BJJBJEDC,2018-09-01 08:28:18,地铁出站,570,600,260019113,地铁二号线,后海,OGT-113,0,2018-09-01 00:00:00
EJFCJIJD,2018-09-01 08:30:12,地铁出站,100,200,260033101,地铁二号线,岗厦北,AGT-101,0,2018-09-01 00:00:00
BJEACBAC,2018-09-01 08:30:00,地铁入站,0,0,261021116,地铁三号线,丹竹头,AGM-116,0,2018-09-01 00:00:00
CBEFIAGAH,2018-09-01 08:30:00,地铁入站,0,0,261018115,地铁三号线,布吉,AGM-115,0,2018-09-01 00:00:00
FFJJFFGBA,2018-09-01 08:30:52,地铁出站,435,500,261010104,地铁三号线,通新岭,AGM-104,1,2018-09-01 00:00:00
CBEFFAFEJ,2018-09-01 08:30:51,地铁出站,190,200,261016120,地铁三号线,水贝,AGM-120,0,2018-09-01 00:00:00
CBDFJDBJC,2018-09-01 08:32:12,地铁出站,285,300,261014116,地铁三号线,翠竹,AGM-116,0,2018-09-01 00:00:00
FHEIEBBJD,2018-09-01 08:31:56,地铁出站,190,200,261026112,地铁三号线,荷坳,AGM-112,0,2018-09-01 00:00:00
FIAFHDCIJ,2018-09-01 08:22:44,地铁入站,0,0,267021106,地铁九号线,上梅林,IGT-106,0,2018-09-01 00:00:00
FHFFGHGJF,2018-09-01 08:26:55,地铁出站,570,600,267021104,地铁九号线,上梅林,OGT-104,0,2018-09-01 00:00:00
FFGGJDJJJ,2018-09-01 08:28:10,地铁入站,0,0,268028101,地铁一号线,前海湾,AGT-101,0,2018-09-01 00:00:00
FHHIJDEAH,2018-09-01 08:27:58,地铁入站,0,0,268034105,地铁一号线,固戍,IGT-105,0,2018-09-01 00:00:00
FHDFCJEJJ,2018-09-01 08:28:05,地铁出站,665,700,268035101,地铁一号线,后瑞,AGT-101,0,2018-09-01 00:00:00
CCADDHBIF,2018-09-01 08:28:44,地铁出站,665,700,268035116,地铁一号线,后瑞,OGT-116,0,2018-09-01 00:00:00
FIACAEEEB,2018-09-01 08:25:59,地铁入站,0,0,267019115,地铁九号线,下梅林,IGT-115,0,2018-09-01 00:00:00
CFHBHEDAF,2018-09-01 08:27:15,地铁出站,285,300,267019107,地铁九号线,下梅林,OGT-107,0,2018-09-01 00:00:00
FFAEAHJGD,2018-09-01 08:29:00,地铁出站,190,200,268033117,地铁一号线,西乡,IGT-117,0,2018-09-01 00:00:00
FIAEEAJEE,2018-09-01 08:29:19,地铁入站,0,0,268032111,地铁一号线,坪洲,IGT-111,0,2018-09-01 00:00:00
CBHCBEGDC,2018-09-01 08:29:03,地铁入站,0,0,268025116,地铁一号线,桃园,AGT-116,0,2018-09-01 00:00:00
FHIGHJFJE,2018-09-01 08:24:11,地铁出站,570,600,241018123,地铁十一号线,碧海湾站,OGT-123,0,2018-09-01 00:00:00
FHFEADGBJ,2018-09-01 08:27:44,地铁出站,475,500,267025102,地铁九号线,红岭北,OGT-102,0,2018-09-01 00:00:00
BCJCJIAB,2018-09-01 08:29:07,地铁入站,0,0,267025117,地铁九号线,红岭北,IGT-117,0,2018-09-01 00:00:00
FFGJIHJHA,2018-09-01 08:27:42,地铁出站,475,500,263020125,地铁五号线,西丽,IGT-125,0,2018-09-01 00:00:00
FHFEDAJAB,2018-09-01 08:31:30,地铁入站,0,0,268007117,地铁一号线,岗厦站,IGT-117,0,2018-09-01 00:00:00
FIACBACJC,2018-09-01 08:31:42,地铁入站,0,0,268022113,地铁一号线,白石洲,AGM-113,0,2018-09-01 00:00:00
FFIJCCJFB,2018-09-01 08:31:19,地铁入站,0,0,268007115,地铁一号线,岗厦站,IGT-115,0,2018-09-01 00:00:00
FIJABDCAJ,2018-09-01 08:31:14,地铁入站,0,0,268026119,地铁一号线,大新,IGT-119,0,2018-09-01 00:00:00
FHGFECEGF,2018-09-01 08:31:35,地铁入站,0,0,268034108,地铁一号线,固戍,IGT_108,0,2018-09-01 00:00:00
CBIHCDCFJ,2018-09-01 08:31:38,地铁入站,0,0,268014101,地铁一号线,侨城东站,IGT-101,0,2018-09-01 00:00:00
FFIAJGCEI,2018-09-01 08:31:28,地铁出站,570,600,268014107,地铁一号线,侨城东站,IGT-107,0,2018-09-01 00:00:00
FHFHHEIDG,2018-09-01 08:31:15,地铁入站,0,0,268034118,地铁一号线,,,0,2018-09-01 00:00:00
CBHFICGGH,2018-09-01 08:31:28,地铁出站,570,600,268002122,地铁一号线,国贸站,AGT-122,0,2018-09-01 00:00:00
FFJIGAIHD,2018-09-01 08:31:39,地铁出站,570,600,268007112,地铁一号线,岗厦站,OGT-112,0,2018-09-01 00:00:00
FHDCIEFCI,2018-09-01 08:30:59,地铁入站,0,0,265032109,地铁七号线,黄木岗,进AGM14-15,0,2018-09-01 00:00:00
FHHDJGHFB,2018-09-01 08:29:32,地铁出站,570,600,265032114,地铁七号线,黄木岗,宽AGM19-20,0,2018-09-01 00:00:00
FHEGCDABE,2018-09-01 08:28:58,地铁出站,380,400,265032108,地铁七号线,黄木岗,出AGM10-11,0,2018-09-01 00:00:00
CBADBHACA,2018-09-01 08:29:15,地铁出站,285,300,265032112,地铁七号线,黄木岗,双AGM17-18,0,2018-09-01 00:00:00
CCJIJJGGE,2018-09-01 08:28:00,地铁出站,475,500,241017104,地铁十一号线,宝安站,OGT-104,0,2018-09-01 00:00:00
BIEAJBDDI,2018-09-01 08:31:50,地铁入站,0,0,268026114,地铁一号线,大新,AGT-114,0,2018-09-01 00:00:00
FHIFIGJAC,2018-09-01 08:32:00,地铁入站,0,0,268011130,地铁一号线,,,0,2018-09-01 00:00:00
BEBJFGFID,2018-09-01 08:31:40,地铁出站,200,400,268002101,地铁一号线,国贸站,OGT-101,0,2018-09-01 00:00:00
FFGBFBJGB,2018-09-01 08:31:54,地铁入站,0,0,268033109,地铁一号线,西乡,AGT-109,0,2018-09-01 00:00:00
FFHDICBCE,2018-09-01 08:32:08,地铁入站,0,0,268033108,地铁一号线,西乡,IGT-108,0,2018-09-01 00:00:00
FFEAJEACA,2018-09-01 08:31:34,地铁出站,285,300,268027102,地铁一号线,鲤鱼门,OGT-102,0,2018-09-01 00:00:00
