card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
CBIDDHCAE,2018-09-01 07:41:35,巴士,160,200,220004263,东部公共交通,937,07630D,0,2018-09-01 00:00:00
FHGCEDJFG,2018-09-01 06:09:59,巴士,160,200,220004276,东部公共交通,369,07239D,0,2018-09-01 00:00:00
FHDHBAAID,2018-09-01 08:51:00,地铁出站,475,500,268022105,地铁一号线,白石洲,AGM-105,0,2018-09-01 00:00:00
FIJDJHEIE,2018-09-01 08:50:50,地铁入站,0,0,268034117,地铁一号线,,,0,2018-09-01 00:00:00
FFHDFIJCF,2018-09-01 08:50:31,地铁入站,0,0,268031104,地铁一号线,宝体,OGT-104,0,2018-09-01 00:00:00
FFGGGECFI,2018-09-01 08:50:48,地铁出站,435,500,268008110,地铁一号线,会展中心站,OGT-110,1,2018-09-01 00:00:00
FFGICGDDB,2018-09-01 08:51:05,地铁出站,285,300,268004150,地铁一号线,,,0,2018-09-01 00:00:00
CCAFJECIA,2018-09-01 08:50:43,地铁入站,0,0,268032126,地铁一号线,,,0,2018-09-01 00:00:00
FHHGHCBJA,2018-09-01 08:50:56,地铁出站,475,500,268008109,地铁一号线,会展中心站,OGT-109,0,2018-09-01 00:00:00
FHIEDCHHF,2018-09-01 08:50:42,地铁出站,285,300,268016120,地铁一号线,世界之窗站,OGT-120,0,2018-09-01 00:00:00
FHDICFJFF,2018-09-01 08:51:01,地铁出站,570,600,268006128,地铁一号线,华强路站,OGT-128,0,2018-09-01 00:00:00
FHEGBFHFG,2018-09-01 08:52:25,地铁入站,0,0,261020102,地铁三号线,大芬,AGM-102,0,2018-09-01 00:00:00
BCEHCFEG,2018-09-01 08:52:43,地铁入站,0,0,261019101,地铁三号线,木棉湾,AGM-101,0,2018-09-01 00:00:00
FHDHHGBGI,2018-09-01 08:52:28,地铁入站,0,0,261026118,地铁三号线,荷坳,AGM-118,0,2018-09-01 00:00:00
FHFJCJHHH,2018-09-01 08:52:28,地铁出站,380,400,261017105,地铁三号线,草埔,AGM-105,0,2018-09-01 00:00:00
FHEDEAHCA,2018-09-01 08:52:38,地铁出站,530,600,261018123,地铁三号线,布吉,AGM-123,1,2018-09-01 00:00:00
FHICAHFJA,2018-09-01 08:52:49,地铁出站,380,400,261010105,地铁三号线,通新岭,AGM-105,0,2018-09-01 00:00:00
FHFEGEBCF,2018-09-01 08:53:03,地铁出站,285,300,261011105,地铁三号线,红岭,AGM-105,0,2018-09-01 00:00:00
