card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
CFJIJJDCE,2018-09-01 07:16:24,地铁入站,0,0,265026111,地铁七号线,皇岗口岸,进AGM16-17,0,2018-09-01 00:00:00
CBHJJCBJG,2018-09-01 07:12:36,地铁出站,190,200,265026110,地铁七号线,皇岗口岸,出AGM12-13,0,2018-09-01 00:00:00
FHHHEICIJ,2018-09-01 07:16:06,地铁入站,0,0,241022108,地铁十一号线,桥头站,IGT-108,0,2018-09-01 00:00:00
FIAHBDHAD,2018-09-01 07:14:54,地铁入站,0,0,241022119,地铁十一号线,桥头站,IGT-119,0,2018-09-01 00:00:00
CCJGGAIJC,2018-09-01 07:18:06,地铁出站,190,200,265028109,地铁七号线,赤尾,出AGM10-11,0,2018-09-01 00:00:00
CFBIDAAAD,2018-09-01 07:16:27,地铁入站,0,0,265022129,地铁七号线,沙尾,进AGM24-25,0,2018-09-01 00:00:00
DDAJDHHDA,2018-09-01 07:16:35,地铁入站,0,0,265022128,地铁七号线,沙尾,进AGM23-24,0,2018-09-01 00:00:00
BIDFBGIBC,2018-09-01 07:18:40,地铁入站,0,0,265025119,地铁七号线,福民,进AGM25-26,0,2018-09-01 00:00:00
CFHJFFEHG,2018-09-01 07:19:06,地铁入站,0,0,241024108,地铁十一号线,马鞍山,IGT-108,0,2018-09-01 00:00:00
HJCDDJHI,2018-09-01 07:16:48,地铁入站,0,0,267023115,地铁九号线,银湖,宽AGM-115,0,2018-09-01 00:00:00
BCCAFCGA,2018-09-01 07:18:15,地铁入站,0,0,265014112,地铁七号线,珠光,进AGM23-24,0,2018-09-01 00:00:00
BAAAJHEAA,2018-09-01 07:16:25,地铁入站,0,0,241025127,地铁十一号线,沙井,AGT-127,0,2018-09-01 00:00:00
FFGIICFJC,2018-09-01 07:18:05,地铁入站,0,0,241025116,地铁十一号线,沙井,IGT-116,0,2018-09-01 00:00:00
CBGDCAEFB,2018-09-01 07:20:24,地铁入站,0,0,241025127,地铁十一号线,沙井,AGT-127,0,2018-09-01 00:00:00
BIBHBDHAJ,2018-09-01 07:18:56,地铁出站,665,700,241023123,地铁十一号线,塘尾站,OGT-123,0,2018-09-01 00:00:00
BCJIBGBA,2018-09-01 07:15:47,地铁入站,0,0,265016112,地铁七号线,桃源村,进AGM16-17,0,2018-09-01 00:00:00
CCADIAJBJ,2018-09-01 07:17:44,地铁入站,0,0,265015112,地铁七号线,龙井,进AGM17-18,0,2018-09-01 00:00:00
BIFADEJII,2018-09-01 07:20:30,地铁入站,0,0,267016115,地铁九号线,香梅,IGT-115,0,2018-09-01 00:00:00
CCJGECEAE,2018-09-01 07:16:08,地铁入站,0,0,261015121,地铁三号线,田贝,AGM-121,0,2018-09-01 00:00:00
BEAHAFIAH,2018-09-01 07:17:37,地铁出站,200,400,265032114,地铁七号线,黄木岗,宽AGM19-20,0,2018-09-01 00:00:00
CBAHGFDIH,2018-09-01 07:18:37,地铁入站,0,0,261004123,地铁三号线,石厦,AGM-123,0,2018-09-01 00:00:00
CBIFJICAE,2018-09-01 07:21:13,地铁入站,0,0,260029102,地铁二号线,景田,IGT-102,0,2018-09-01 00:00:00
FFECACEAG,2018-09-01 07:20:10,地铁出站,380,400,241014138,地铁十一号线,后海站,OGT-138,0,2018-09-01 00:00:00
CBBIAHCII,2018-09-01 07:19:44,地铁入站,0,0,263015105,地铁五号线,翻身,IGT-105,0,2018-09-01 00:00:00
FHEEDGGAB,2018-09-01 07:19:33,地铁入站,0,0,263027114,地铁五号线,坂田,IGT-114,0,2018-09-01 00:00:00
FFEFGEAAE,2018-09-01 07:10:36,地铁入站,0,0,262011106,地铁四号线,清湖,AGM-106,0,2018-09-01 00:00:00
CCABDBBAC,2018-09-01 07:19:50,地铁出站,570,600,262012117,地铁四号线,龙华,AGM-117,0,2018-09-01 00:00:00
BEAIAIECH,2018-09-01 07:12:00,地铁入站,0,0,262014102,地铁四号线,上塘,AGM-102,0,2018-09-01 00:00:00
FHIFDEHJI,2018-09-01 07:12:50,地铁入站,0,0,262019113,地铁四号线,上梅林,AGM-113,0,2018-09-01 00:00:00
CFHJBGHEJ,2018-09-01 07:14:10,地铁入站,0,0,262012104,地铁四号线,龙华,AGM-104,0,2018-09-01 00:00:00
CBEGACCAF,2018-09-01 07:11:10,地铁出站,380,400,262020107,地铁四号线,莲花北,AGM-107,0,2018-09-01 00:00:00
CBCAJAFDI,2018-09-01 07:20:07,地铁入站,0,0,263027114,地铁五号线,坂田,IGT-114,0,2018-09-01 00:00:00
FFEECFAAE,2018-09-01 07:17:39,地铁出站,150,200,260021101,地铁二号线,红树湾,OGT-101,1,2018-09-01 00:00:00
BEAIEIBFI,2018-09-01 07:20:11,地铁入站,0,0,261021117,地铁三号线,丹竹头,AGM-117,0,2018-09-01 00:00:00
