card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FIAIBGAJH,2018-09-01 09:30:00,巴士,120,200,220000087,东部公共交通,M329,03208D,1,2018-09-01 00:00:00
FHGIFHFID,2018-09-01 09:58:23,巴士,120,200,220000087,东部公共交通,M329,03208D,1,2018-09-01 00:00:00
FHIGGBJJD,2018-09-01 09:03:09,巴士,160,200,220000088,东部公共交通,M458,04250D,0,2018-09-01 00:00:00
FHDCGCBBI,2018-09-01 09:16:26,巴士,160,200,220000088,东部公共交通,M458,04250D,0,2018-09-01 00:00:00
CCJIFEEJI,2018-09-01 09:39:59,巴士,160,200,220000088,东部公共交通,M458,04250D,0,2018-09-01 00:00:00
BCEHCJGJ,2018-09-01 08:28:46,巴士,160,200,220000090,东部公共交通,归属未知,temp,0,2018-09-01 00:00:00
FHHEAGGBG,2018-09-01 08:56:40,巴士,120,200,220000090,东部公共交通,归属未知,temp,1,2018-09-01 00:00:00
CBHGCJGJF,2018-09-01 08:33:09,巴士,160,200,220000092,东部公共交通,M276,07120D,0,2018-09-01 00:00:00
FHDGJEIGA,2018-09-01 09:26:34,巴士,160,200,220000092,东部公共交通,M276,07120D,0,2018-09-01 00:00:00
BIDEBFBGG,2018-09-01 08:39:25,巴士,160,200,220000094,东部公共交通,归属未知,temp,0,2018-09-01 00:00:00
FHDEIDFCF,2018-09-01 08:27:24,巴士,160,200,224005332,西部公共汽车,334线（混租电动）,粤B08307D,0,2018-09-01 00:00:00
FHEBJAGBF,2018-09-01 09:43:33,巴士,120,200,224005332,西部公共汽车,334线（混租电动）,粤B08307D,0,2018-09-01 00:00:00
FFFCJECAJ,2018-09-01 08:07:02,巴士,160,200,224005337,西部公共汽车,M286线,粤BBA390,0,2018-09-01 00:00:00
BIAEJDJHB,2018-09-01 08:32:09,巴士,160,200,220000178,东部公共交通,620,46998D,0,2018-09-01 00:00:00
FFEIJBIAE,2018-09-01 09:14:16,巴士,160,200,220000178,东部公共交通,620,46998D,0,2018-09-01 00:00:00
FFGFFBBFB,2018-09-01 08:02:38,巴士,160,200,224005359,西部公共汽车,M287线,粤BBC145,0,2018-09-01 00:00:00
CFHCCHAAA,2018-09-01 10:15:20,地铁出站,190,200,262015106,地铁四号线,红山,AGM-106,0,2018-09-01 00:00:00
FFEJIEEFD,2018-09-01 10:18:40,地铁出站,285,300,262016109,地铁四号线,深圳北站,AGM-109,0,2018-09-01 00:00:00
FFCGFAIAA,2018-09-01 09:41:13,地铁入站,0,0,268017108,地铁四号线,福田口岸,"IGT-108 ",0,2018-09-01 00:00:00
BEADIFADB,2018-09-01 10:14:40,地铁入站,0,0,262011109,地铁四号线,,,0,2018-09-01 00:00:00
CFHABIEBF,2018-09-01 09:40:04,地铁入站,0,0,268017106,地铁四号线,福田口岸,"IGT-106 ",0,2018-09-01 00:00:00
